instance,|V|,|E|,C time,R time,Conv time,|iter|,|R1|,|R2|,|R|
C2000.5,2000,999836,256.71,1.52,1.66,1,0,0,0
C2000.9,2000,1799532,5344.73,7.91,3.01,1,0,0,0
DSJC125.1gb,125,736,0.0,0.0,0.02,1,0,0,0
DSJC125.1g,125,736,0.0,0.0,0.0,1,0,0,0
DSJC125.5gb,125,3891,0.07,0.0,0.01,1,0,0,0
DSJC125.5g,125,3891,0.07,0.0,0.01,1,0,0,0
DSJC125.9gb,125,6961,1.04,0.0,0.01,1,0,0,0
DSJC125.9g,125,6961,1.01,0.01,0.01,1,0,0,0
DSJC250.1,250,3218,0.02,0.01,0.01,1,0,0,0
DSJC250.5,250,15668,0.42,0.01,0.02,1,0,0,0
DSJC250.9,250,27897,7.26,0.02,0.04,1,0,0,0
DSJC500.1,500,12458,0.08,0.03,0.02,1,0,0,0
DSJC500.5,500,62624,3.61,0.05,0.09,1,0,0,0
DSJC500.9,500,112437,71.25,0.13,0.16,1,0,0,0
DSJC1000.1,1000,49629,0.44,0.15,0.07,1,0,0,0
DSJC1000.5,1000,249826,29.19,0.29,0.41,1,0,0,0
DSJC1000.9,1000,449449,615.04,0.86,0.72,1,0,0,0
DSJR500.1,500,3555,0.05,0.04,0.01,1,0,78,78
flat1000_50_0,1000,245000,26.82,0.29,0.42,1,0,0,0
flat1000_60_0,1000,245830,27.75,0.29,0.41,1,0,0,0
flat1000_76_0,1000,246708,27.94,0.3,0.42,1,0,0,0
GEOM20a,20,37,0.0,0.0,0.0,1,0,9,9
GEOM20b,20,32,0.0,0.0,0.0,1,0,5,5
GEOM20,20,20,0.0,0.0,0.0,1,0,13,13
GEOM30a,30,81,0.0,0.0,0.0,1,0,6,6
GEOM30b,30,81,0.0,0.0,0.0,1,0,4,4
GEOM30,30,50,0.0,0.0,0.0,1,0,14,14
GEOM40a,40,146,0.0,0.0,0.0,1,0,7,7
GEOM40b,40,157,0.0,0.0,0.0,1,0,5,5
GEOM40,40,78,0.0,0.0,0.0,1,0,13,13
GEOM50a,50,238,0.0,0.0,0.0,1,0,8,8
GEOM50b,50,249,0.0,0.0,0.0,1,0,5,5
GEOM50,50,127,0.0,0.0,0.0,1,0,9,9
GEOM60a,60,339,0.0,0.0,0.0,1,0,8,8
GEOM60b,60,366,0.0,0.0,0.0,1,0,7,7
GEOM60,60,185,0.0,0.0,0.0,1,0,9,9
GEOM70a,70,459,0.01,0.0,0.0,1,0,8,8
GEOM70b,70,488,0.01,0.0,0.0,1,0,6,6
GEOM70,70,267,0.0,0.0,0.0,1,0,7,7
GEOM80a,80,612,0.01,0.0,0.0,1,0,5,5
GEOM80b,80,663,0.01,0.0,0.0,1,0,9,9
GEOM80,80,349,0.0,0.0,0.0,1,0,16,16
GEOM90a,90,789,0.01,0.0,0.0,1,0,3,3
GEOM90b,90,860,0.01,0.0,0.0,1,0,8,8
GEOM90,90,441,0.0,0.0,0.0,1,0,8,8
GEOM100a,100,992,0.02,0.0,0.0,1,0,0,0
GEOM100b,100,1050,0.02,0.0,0.0,1,0,9,9
GEOM100,100,547,0.0,0.0,0.01,1,0,8,8
GEOM110a,110,1207,0.02,0.0,0.0,1,0,0,0
GEOM110b,110,1256,0.02,0.0,0.0,1,0,11,11
GEOM110,110,638,0.01,0.0,0.0,1,0,6,6
GEOM120a,120,1434,0.03,0.0,0.0,1,0,0,0
GEOM120b,120,1491,0.03,0.0,0.0,1,0,7,7
GEOM120,120,773,0.01,0.0,0.0,1,0,12,12
inithx.i.1,864,18707,4.28,0.43,0.03,1,0,469,469
inithx.i.2,645,13979,1.54,0.22,0.02,1,0,174,174
inithx.i.3,621,13969,1.53,0.14,0.02,1,0,153,153
latin_square_10,900,307350,258.03,0.42,0.47,1,0,0,0
le450_15a,450,8168,0.15,0.04,0.01,1,0,28,28
le450_15b,450,8169,0.14,0.04,0.01,1,0,20,20
le450_15c,450,16680,0.31,0.04,0.03,1,0,0,0
le450_15d,450,16750,0.3,0.04,0.03,1,0,0,0
le450_25a,450,8260,0.28,0.05,0.01,1,0,92,92
le450_25b,450,8263,0.28,0.06,0.01,1,0,90,90
le450_25c,450,17343,0.66,0.05,0.02,1,0,9,9
le450_25d,450,17425,0.62,0.05,0.02,1,0,7,7
miles250,128,387,0.0,0.0,0.0,1,0,53,53
miles500,128,1170,0.03,0.01,0.0,1,0,48,48
miles1000,128,3216,0.37,0.03,0.0,1,0,17,17
miles1500,128,5198,1.63,0.13,0.01,1,0,19,19
