instance,|V|,|E|,C time,R time,Conv time,|iter|,|R1|,|R2|,|R|
R50_9g,50,1092,0.05,0.0,0.0,1,0,0,0
R75_1gb,70,251,0.0,0.0,0.0,1,0,1,1
R75_1g,70,251,0.0,0.0,0.0,1,0,1,1
R75_5gb,75,1407,0.02,0.0,0.0,1,0,0,0
R75_5g,75,1407,0.02,0.0,0.0,1,0,0,0
R75_9gb,75,2513,0.2,0.01,0.0,1,0,0,0
R75_9g,75,2513,0.2,0.01,0.0,1,0,0,0
R100_1gb,100,509,0.0,0.0,0.0,1,0,1,1
R100_1g,100,509,0.0,0.0,0.0,1,0,2,2
R100_5gb,100,2456,0.03,0.01,0.0,1,0,0,0
R100_5g,100,2456,0.03,0.01,0.0,1,0,0,0
R100_9gb,100,4438,0.46,0.02,0.01,1,0,0,0
R100_9g,100,4438,0.51,0.02,0.01,1,0,0,0
wap01a,2368,110871,12.26,16.5,0.18,1,0,137,137
wap02a,2464,111742,12.15,19.32,0.18,1,0,165,165
wap03a,4730,286722,30.27,58.85,0.51,1,0,133,133
wap04a,5231,294902,30.01,68.32,0.47,1,0,244,244
wap05a,905,43081,4.82,4.03,0.06,1,0,76,76
wap06a,947,43571,4.8,3.58,0.06,1,0,72,72
wap07a,1809,103368,9.51,7.55,0.18,1,0,80,80
wap08a,1870,104176,9.87,8.63,0.15,1,0,83,83
zeroin.i.1,211,4100,0.69,0.14,0.0,1,0,111,111
zeroin.i.2,211,3541,0.25,0.03,0.0,1,0,82,82
zeroin.i.3,206,3540,0.25,0.05,0.0,1,0,75,75
p06,16,38,0.0,0.0,0.0,1,0,0,0
p07,24,92,0.0,0.0,0.0,1,0,0,0
p08,24,92,0.0,0.0,0.0,1,0,0,0
p09,25,100,0.0,0.0,0.0,1,0,0,0
p10,16,32,0.0,0.0,0.0,1,0,0,0
p11,18,48,0.0,0.0,0.0,1,0,0,0
p12,26,90,0.0,0.0,0.0,1,0,0,0
p13,34,160,0.0,0.0,0.0,1,0,0,0
p14,31,110,0.0,0.0,0.0,1,0,0,0
p15,34,136,0.0,0.0,0.0,1,0,0,0
p16,34,134,0.0,0.0,0.0,1,0,0,0
p17,37,161,0.0,0.0,0.0,1,0,0,0
p18,35,143,0.0,0.0,0.0,1,0,0,0
p19,36,156,0.0,0.0,0.0,1,0,0,0
p20,37,142,0.0,0.0,0.0,1,0,0,0
p21,38,155,0.0,0.0,0.0,1,0,1,1
p22,38,154,0.0,0.0,0.0,1,0,0,0
p23,44,204,0.0,0.0,0.0,1,0,0,0
p24,34,104,0.0,0.0,0.0,1,0,3,3
p25,36,120,0.0,0.0,0.0,1,0,2,2
p26,37,131,0.0,0.0,0.0,1,0,2,2
p27,44,174,0.0,0.0,0.0,1,0,0,0
p28,44,164,0.0,0.0,0.0,1,0,5,5
