instance,|V|,|E|,C time,R time,Conv time,|iter|,|R1|,|R2|,|R|
inithx.i.2,645,13979,1.75,1.72,0.01,1,244,228,472
inithx.i.3,621,13969,1.66,1.73,0.01,1,260,198,458
latin_square_10,900,307350,273.34,12.74,0.42,1,0,0,0
le450_5a,450,5714,0.05,0.12,0.01,1,0,0,0
le450_5b,450,5734,0.04,0.12,0.01,1,0,0,0
le450_5c,450,9803,0.07,0.15,0.02,1,0,0,0
le450_5d,450,9757,0.07,0.15,0.02,1,0,0,0
le450_15a,450,8168,0.15,0.21,0.01,1,4,37,41
le450_15b,450,8169,0.15,0.19,0.01,1,4,35,39
le450_15c,450,16680,0.34,0.32,0.03,1,0,0,0
le450_15d,450,16750,0.35,0.32,0.03,1,0,0,0
le450_25a,450,8260,0.31,0.26,0.01,1,22,125,147
le450_25b,450,8263,0.31,0.27,0.01,1,11,120,131
le450_25c,450,17343,0.72,0.41,0.02,1,0,14,14
le450_25d,450,17425,0.71,0.4,0.03,1,0,16,16
miles250,128,387,0.0,0.0,0.0,1,11,80,91
miles500,128,1170,0.03,0.03,0.0,1,5,70,75
miles750,128,2113,0.15,0.04,0.0,1,4,51,55
miles1000,128,3216,0.47,0.07,0.0,1,3,42,45
miles1500,128,5198,1.95,0.32,0.01,1,3,27,30
mug100_1,100,166,0.0,0.01,0.0,1,0,0,0
mug100_25,100,166,0.0,0.0,0.0,1,0,0,0
mug88_1,88,146,0.0,0.0,0.0,1,0,0,0
mug88_25,88,146,0.0,0.0,0.0,1,0,0,0
mulsol.i.1,197,3925,0.63,1.73,0.0,1,36,75,111
mulsol.i.2,188,3885,0.35,0.29,0.0,1,58,53,111
mulsol.i.3,184,3916,0.35,0.28,0.0,1,59,48,107
mulsol.i.4,185,3946,0.34,0.19,0.0,1,58,48,106
mulsol.i.5,186,3973,0.36,0.08,0.0,1,60,48,108
myciel3,11,20,0.0,0.0,0.0,1,0,0,0
myciel4,23,71,0.0,0.0,0.0,1,0,0,0
myciel5,47,236,0.0,0.0,0.0,1,0,0,0
myciel6,95,755,0.0,0.01,0.0,1,0,0,0
myciel7,191,2360,0.01,0.02,0.0,1,0,0,0
p06,16,38,0.0,0.0,0.0,1,0,0,0
